I0,I1,I2,I3,I4,I5
6918,5081,5165,-1378,650,728
7041,5885,4957,-1258,1157,101
6880,6688,5118,-1032,1034,-2
6073,6851,5147,-796,921,-125
5433,6603,5395,-429,719,-290
5205,6793,6131,41,586,-627
5096,6902,6625,1067,211,-1278
5109,6889,6823,1456,-224,-1232
4985,6396,7014,1298,-762,-536
5050,5573,6948,842,-823,-19
5619,5172,6827,726,-854,128
6376,5347,6651,426,-769,343
6707,5291,5961,-145,-707,852
6791,5207,5534,-1084,-425,1509
6860,5138,5514,-1452,-24,1476
6896,5103,5172,-1355,658,697
7028,5897,4970,-1236,1153,83
6876,6658,5123,-930,960,-30
6132,6833,5165,-808,917,-109
5423,6575,5424,-332,699,-367
5228,6772,6154,182,656,-838
5135,6865,6576,1094,339,-1433
5084,6914,6705,1460,-184,-1276
4967,6551,7031,1398,-936,-462
4985,5678,7012,1066,-996,-70
5500,5126,6873,849,-844,-5
6303,5271,6728,397,-570,173
6761,5237,6082,-215,-484,699
6947,5052,5865,-1178,62,1116
7003,4995,5608,-1434,766,668
7006,5258,4993,-1336,1052,284
7028,6086,4970,-888,885,3
6767,6782,5216,-576,636,-60
5867,6708,5291,-308,704,-396
5311,6688,5784,253,796,-1049
5218,6781,6267,943,575,-1518
5154,6845,6502,1266,307,-1573
5069,6930,6719,1302,-199,-1103
4965,6453,7033,1281,-1104,-177
5028,5594,6971,1020,-1077,57
5644,5144,6853,906,-994,88
6327,5302,6696,533,-767,234
6705,5293,6210,266,-670,404
6932,5067,5381,-522,-327,849
6944,5053,5373,-1419,278,1141
7013,5344,4986,-1414,815,599
7023,6180,4976,-1009,789,220
6709,6828,5170,-717,725,-8
5837,6776,5223,-525,750,-225
5362,6636,5830,-62,750,-688
5225,6773,6447,389,834,-1223
5239,6752,6759,1106,592,-1698
5100,6586,6899,1266,387,-1653
5001,6304,6997,1176,-31,-1145
5104,5744,6895,858,-882,24
5568,5194,6804,1117,-1365,248
6300,5316,6683,809,-1066,257
6581,5416,6328,539,-845,306
6753,5245,5599,-17,-484,501
6918,5080,5460,-1282,176,1106
6887,5160,5111,-1589,885,704
7070,5884,4929,-1432,1014,418
6932,6659,5066,-1060,807,253
6122,6909,5089,-776,761,15
5316,6683,5399,-206,472,-266
5165,6834,6311,423,499,-922
5130,6868,6595,1183,315,-1498
5148,6765,6851,1370,7,-1377
5018,6317,6980,983,-194,-789
5072,5729,6927,772,-640,-132
5471,5203,6795,825,-862,37
6186,5225,6774,632,-768,136
6742,5256,6367,143,-387,244
6998,5002,5798,-766,139,627
6988,5009,5507,-1196,514,682
6987,5328,5011,-1142,817,325
7000,6130,4998,-699,716,-17
6648,6767,5232,-456,684,-228
5654,6625,5374,-27,767,-740
5317,6683,5955,670,876,-1546
5281,6718,6224,1108,642,-1750
5210,6788,6356,1267,350,-1617
5061,6937,6464,1238,-349,-889
